w	lg_w	A	L	psi
1	0	1.940285	5.757310526	-75.96375653
1.258925412	0.1	1.558229285	3.852627243	-78.76820614
1.584893192	0.2	1.246502422	1.913862535	-81.03606082
1.995262315	0.3	0.994597633	-0.047051576	-82.85824002
2.511886432	0.4	0.792299915	-2.022207815	-84.31625246
3.16227766	0.5	0.630488325	-4.00645902	-85.47977241
3.981071706	0.6	0.501389648	-5.996492737	-86.40670613
5.011872336	0.7	0.398556932	-7.99019265	-87.14436412
6.309573445	0.8	0.316730114	-9.986212855	-87.73099462
7.943282347	0.9	0.251660471	-11.9836999	-88.19731724
10	1	0.199937529	-13.98211358	-88.56790382
12.58925412	1.1	0.158834332	-15.98111238	-88.86235814
15.84893192	1.2	0.126175773	-17.98048055	-89.09629513
19.95262315	1.3	0.100229579	-19.98008184	-89.28213973
25.11886432	1.4	0.079617491	-21.97983026	-89.42977231
31.6227766	1.5	0.063243577	-23.97967151	-89.54704653
39.81071706	1.6	0.050236738	-25.97957135	-89.6402035
50.11872336	1.7	0.03990475	-27.97950815	-89.7142021
63.09573445	1.8	0.031697615	-29.97946827	-89.77298196
79.43282347	1.9	0.025178384	-31.97944311	-89.81967281
100	2	0.019999938	-33.97942723	-89.85676085
