w	lg_w	A	L	psi
1	0	0.526635004	-5.569805563	9.090276921
1.258925412	0.1	0.32593242	-9.737448764	7.070895234
1.584893192	0.2	0.203177992	-13.84246671	5.543682902
1.995262315	0.3	0.127226964	-17.90841671	4.367608868
2.511886432	0.4	0.079892296	-21.9499019	3.45152874
3.16227766	0.5	0.050257245	-25.97602642	2.732796194
3.981071706	0.6	0.031650132	-29.99248949	2.166321411
5.011872336	0.7	0.019946034	-34.00286884	1.718563437
6.309573445	0.8	0.012575616	-38.00941452	1.363999415
7.943282347	0.9	0.007930907	-42.01354326	1.082910541
10	1	0.005002563	-46.01614781	0.859909607
12.58925412	1.1	0.003155807	-50.01779096	0.682911808
15.84893192	1.2	0.001990942	-54.01882764	0.54238665
19.95262315	1.3	0.001256105	-58.01948171	0.430798214
25.11886432	1.4	0.000792511	-62.01989438	0.342177737
31.6227766	1.5	0.000500026	-66.02015476	0.271792694
39.81071706	1.6	0.000315489	-70.02031904	0.215888229
50.11872336	1.7	0.000199058	-74.02042269	0.171483919
63.09573445	1.8	0.000125596	-78.0204881	0.136213418
79.43282347	1.9	7.92E-05	-82.02052936	0.108197612
100	2	5.00E-05	-86.0205554	0.085944142
